timestamp,cpu_percent,mem_percent,response_ms,apache_procs,connections,load_avg
2025-12-01 11:44:06,23,2,51.5,136,3,0,33.19
2025-12-01 11:44:06,24,3,51.4,11,3,0,33.19
2025-12-01 11:44:07,9,0,51.4,11,3,0,33.19
2025-12-01 11:44:07,64,0,51.4,13,3,0,33.19
2025-12-01 11:44:07,13,4,51.4,14,3,0,33.19
2025-12-01 11:44:08,7,1,51.2,12,3,0,30.86
2025-12-01 11:44:08,4,3,51.2,14,3,0,30.86
2025-12-01 11:44:08,2,9,51.2,15,3,0,30.86
2025-12-01 11:44:09,2,9,50.9,14,3,0,30.86
2025-12-01 11:44:09,4,3,51.0,14,3,0,30.86
2025-12-01 11:44:10,2,9,50.9,14,3,0,30.86
2025-12-01 11:44:10,1,4,51.0,14,3,0,30.86
2025-12-01 11:44:10,15,7,51.1,10,3,0,30.86
2025-12-01 11:44:11,2,9,51.1,14,3,0,30.86
2025-12-01 11:44:11,7,4,51.1,12,3,0,30.86
2025-12-01 11:44:11,0,0,51.1,14,3,0,30.86
2025-12-01 11:44:12,1,4,51.1,14,3,0,30.86
2025-12-01 11:44:12,1,4,51.1,13,3,0,30.86
2025-12-01 11:44:13,8,6,51.1,10,3,0,30.86
2025-12-01 11:44:13,3,0,51.1,10,3,0,28.55
2025-12-01 11:44:13,4,2,51.1,14,3,0,28.55
2025-12-01 11:44:14,3,0,51.1,13,3,0,28.55
2025-12-01 11:44:14,0,0,51.1,11,3,0,28.55
2025-12-01 11:44:14,2,9,51.1,12,3,0,28.55
2025-12-01 11:44:15,29,2,51.0,13,3,0,28.55
2025-12-01 11:44:15,4,5,51.0,13,3,0,28.55
2025-12-01 11:44:16,4,2,51.0,15,3,0,28.55
2025-12-01 11:44:16,6,0,51.0,12,3,0,28.55
2025-12-01 11:44:16,10,1,50.9,10,3,0,28.55
2025-12-01 11:44:17,8,7,51.0,12,3,0,28.55
2025-12-01 11:44:17,1,4,51.1,10,3,0,28.55
2025-12-01 11:44:17,4,3,51.0,11,3,0,28.55
2025-12-01 11:44:18,2,9,51.1,12,3,0,27.86
2025-12-01 11:44:18,5,7,51.1,12,3,0,27.86
2025-12-01 11:44:19,10,0,51.1,13,3,0,27.86
2025-12-01 11:44:19,8,6,51.1,11,3,0,27.86
2025-12-01 11:44:19,14,7,51.1,11,3,0,27.86
2025-12-01 11:44:20,4,4,51.0,10,3,0,27.86
2025-12-01 11:44:20,1,5,51.0,12,3,0,27.86
2025-12-01 11:44:20,7,2,51.0,10,3,0,27.86
2025-12-01 11:44:21,4,5,51.1,14,3,0,27.86
2025-12-01 11:44:21,0,0,51.1,13,3,0,27.86
2025-12-01 11:44:21,0,0,51.1,11,3,0,27.86
2025-12-01 11:44:22,1,5,51.1,14,3,0,27.86
2025-12-01 11:44:22,1,4,51.3,14,3,0,27.86
2025-12-01 11:44:23,55,6,51.3,10,3,0,27.86
2025-12-01 11:44:23,1,5,51.3,13,3,0,27.95
2025-12-01 11:44:23,10,3,51.4,11,3,0,27.95
2025-12-01 11:44:24,21,4,51.3,13,3,0,27.95
2025-12-01 11:44:24,10,4,51.4,12,3,0,27.95
2025-12-01 11:44:24,5,8,51.4,12,3,0,27.95
2025-12-01 11:44:25,2,9,51.4,15,3,0,27.95
2025-12-01 11:44:25,11,4,51.4,12,3,0,27.95
2025-12-01 11:44:26,11,8,51.4,10,3,0,27.95
2025-12-01 11:44:26,4,3,51.5,13,3,1,27.95
2025-12-01 11:44:26,4,2,51.5,11,3,0,27.95
2025-12-01 11:44:27,16,7,51.5,10,3,0,27.95
2025-12-01 11:44:27,19,1,51.5,10,3,0,27.95
2025-12-01 11:44:27,7,5,51.5,13,3,0,27.95
2025-12-01 11:44:28,7,0,51.5,14,3,0,30.28
2025-12-01 11:44:28,16,4,51.5,13,3,0,30.28
2025-12-01 11:44:29,10,1,51.6,13,3,0,30.28
2025-12-01 11:44:29,22,9,51.6,11,3,0,30.28
2025-12-01 11:44:29,4,2,51.6,15,3,0,30.28
2025-12-01 11:44:30,31,9,51.6,11,3,0,30.28
2025-12-01 11:44:30,5,8,51.6,12,3,0,30.28
2025-12-01 11:44:30,5,8,51.6,12,3,1,30.28
2025-12-01 11:44:31,7,1,51.6,15,3,0,30.28
2025-12-01 11:44:31,13,0,51.6,11,3,0,30.28
2025-12-01 11:44:32,17,4,51.6,10,3,0,30.28
2025-12-01 11:44:32,2,9,51.8,13,3,1,30.28
