timestamp,cpu_percent,mem_percent,response_ms,apache_procs,connections,load_avg
2025-12-06 12:19:31,1,3,58.6,104,7,0,0.84
2025-12-06 12:19:31,16,9,58.8,12,7,0,0.84
2025-12-06 12:19:32,13,4,58.8,11,7,0,0.84
2025-12-06 12:19:32,9,1,58.9,11,7,0,0.84
2025-12-06 12:19:32,10,8,58.9,14,7,0,0.84
2025-12-06 12:19:33,5,9,58.9,11,7,0,0.84
2025-12-06 12:19:33,13,2,58.8,12,7,0,0.84
2025-12-06 12:19:33,9,4,58.8,11,7,0,0.84
2025-12-06 12:19:34,0,0,58.8,14,7,0,0.84
2025-12-06 12:19:34,13,4,58.8,11,7,0,1.01
2025-12-06 12:19:35,5,8,58.7,14,7,0,1.01
2025-12-06 12:19:35,7,7,58.8,13,7,0,1.01
2025-12-06 12:19:35,4,5,58.8,14,7,0,1.01
2025-12-06 12:19:36,4,3,58.7,14,7,0,1.01
2025-12-06 12:19:36,2,9,58.7,11,7,0,1.01
2025-12-06 12:19:36,7,4,58.8,10,7,0,1.01
2025-12-06 12:19:37,4,3,58.8,14,7,0,1.01
2025-12-06 12:19:37,4,4,58.8,14,7,0,1.01
2025-12-06 12:19:37,1,5,58.8,11,7,0,1.01
2025-12-06 12:19:38,47,9,58.9,10,7,0,1.01
2025-12-06 12:19:38,2,9,58.9,14,7,0,1.01
2025-12-06 12:19:39,3,0,58.9,14,7,0,1.01
2025-12-06 12:19:39,1,5,58.9,14,7,0,1.01
2025-12-06 12:19:39,1,5,58.9,11,7,0,1.09
2025-12-06 12:19:40,0,0,58.9,14,7,0,1.09
2025-12-06 12:19:40,2,9,58.9,14,7,0,1.09
2025-12-06 12:19:40,3,0,58.9,12,7,0,1.09
2025-12-06 12:19:41,2,9,58.8,13,7,0,1.09
2025-12-06 12:19:41,4,3,58.7,13,7,0,1.09
2025-12-06 12:19:42,1,4,58.7,10,7,0,1.09
2025-12-06 12:19:42,4,3,58.8,12,7,0,1.09
2025-12-06 12:19:42,1,5,58.8,10,7,0,1.09
2025-12-06 12:19:43,1,4,58.8,14,7,0,1.09
2025-12-06 12:19:43,1,5,58.7,13,7,0,1.09
2025-12-06 12:19:43,2,9,58.7,12,7,0,1.09
2025-12-06 12:19:44,2,9,58.7,14,7,0,1.09
2025-12-06 12:19:44,4,4,58.7,14,7,0,1.09
2025-12-06 12:19:44,2,9,58.7,10,7,0,1.40
2025-12-06 12:19:45,1,5,58.7,14,7,0,1.40
2025-12-06 12:19:45,2,9,58.7,14,7,0,1.40
2025-12-06 12:19:46,1,5,58.7,14,7,0,1.40
2025-12-06 12:19:46,1,5,58.7,11,7,0,1.40
2025-12-06 12:19:46,1,5,58.7,14,7,0,1.40
2025-12-06 12:19:47,5,8,58.8,14,7,0,1.40
2025-12-06 12:19:47,2,8,58.8,12,7,0,1.40
2025-12-06 12:19:47,1,5,58.8,14,7,0,1.40
2025-12-06 12:19:48,2,9,58.9,14,7,0,1.40
2025-12-06 12:19:48,2,9,58.9,14,7,0,1.40
2025-12-06 12:19:48,2,9,58.9,14,7,0,1.40
2025-12-06 12:19:49,1,5,58.8,14,7,0,1.40
2025-12-06 12:19:49,1,4,58.9,13,7,0,1.29
2025-12-06 12:19:50,1,4,58.9,13,7,0,1.29
2025-12-06 12:19:50,1,4,58.9,14,7,0,1.29
2025-12-06 12:19:50,4,4,58.9,10,7,0,1.29
2025-12-06 12:19:51,41,8,58.7,13,7,0,1.29
2025-12-06 12:19:51,4,3,58.7,13,7,0,1.29
2025-12-06 12:19:51,3,0,58.7,14,7,0,1.29
2025-12-06 12:19:52,2,9,58.7,14,7,0,1.29
2025-12-06 12:19:52,3,0,58.6,14,7,0,1.29
2025-12-06 12:19:53,8,8,58.6,14,7,0,1.29
2025-12-06 12:19:53,2,9,58.9,14,7,0,1.29
2025-12-06 12:19:53,4,3,58.8,14,7,0,1.29
2025-12-06 12:19:54,4,5,58.9,13,7,0,1.29
2025-12-06 12:19:54,3,0,58.9,10,7,0,1.29
2025-12-06 12:19:54,7,4,58.9,13,7,0,1.35
2025-12-06 12:19:55,5,8,59.0,10,7,0,1.35
2025-12-06 12:19:55,8,6,59.1,10,7,1,1.35
2025-12-06 12:19:55,2,9,59.1,13,7,1,1.35
2025-12-06 12:19:56,7,4,59.0,13,7,1,1.35
2025-12-06 12:19:56,3,0,59.1,12,7,1,1.35
2025-12-06 12:19:57,14,7,59.4,11,7,1,1.35
2025-12-06 12:19:57,47,1,59.6,30,7,1,1.35
2025-12-06 12:19:57,21,4,59.8,10,7,1,1.35
2025-12-06 12:19:58,1,4,59.6,31,7,1,1.35
2025-12-06 12:19:58,14,5,59.8,25,7,1,1.35
2025-12-06 12:19:58,11,9,60.0,25,7,1,1.35
2025-12-06 12:19:59,8,5,60.2,10,7,1,1.35
2025-12-06 12:19:59,13,2,59.8,10,7,1,1.35
2025-12-06 12:19:59,9,0,59.8,10,7,1,1.48
2025-12-06 12:20:00,14,7,59.9,13,7,1,1.48
2025-12-06 12:20:00,5,8,59.9,25,8,1,1.48
2025-12-06 12:20:01,21,7,59.9,25,8,1,1.48
2025-12-06 12:20:01,8,2,60.0,26,8,1,1.48
2025-12-06 12:20:01,52,6,60.2,71,8,1,1.48
2025-12-06 12:20:02,2,9,60.1,10,8,1,1.48
2025-12-06 12:20:02,7,5,60.1,10,8,1,1.48
