timestamp,cpu_percent,mem_percent,response_ms,apache_procs,connections,load_avg
2025-11-24 17:38:23,5,3,58.5,334,3,0,9.15
2025-11-24 17:38:23,43,4,58.5,13,3,0,9.38
2025-11-24 17:38:24,18,3,58.4,13,3,0,9.38
2025-11-24 17:38:24,10,5,58.3,18,3,0,9.38
2025-11-24 17:38:24,7,6,58.2,12,3,0,9.38
2025-11-24 17:38:25,1,5,58.3,13,3,0,9.38
2025-11-24 17:38:25,2,9,58.3,14,3,0,9.38
2025-11-24 17:38:25,0,0,58.5,12,3,0,9.38
2025-11-24 17:38:26,1,4,58.5,12,3,0,9.38
2025-11-24 17:38:26,2,9,58.5,14,3,0,9.38
2025-11-24 17:38:26,2,9,58.5,14,3,0,9.38
2025-11-24 17:38:27,2,9,58.5,10,3,0,9.38
2025-11-24 17:38:27,1,4,58.4,14,3,0,9.38
2025-11-24 17:38:28,10,3,58.4,13,3,0,9.38
2025-11-24 17:38:28,2,9,58.4,11,3,0,9.38
2025-11-24 17:38:28,2,9,58.4,14,3,0,9.03
2025-11-24 17:38:29,4,3,58.4,14,3,0,9.03
2025-11-24 17:38:29,1,5,58.4,12,3,0,9.03
2025-11-24 17:38:29,2,9,58.3,13,3,0,9.03
2025-11-24 17:38:30,2,9,58.2,14,3,0,9.03
2025-11-24 17:38:30,10,0,58.3,14,3,0,9.03
2025-11-24 17:38:31,1,4,58.3,14,3,0,9.03
2025-11-24 17:38:31,1,4,58.4,13,3,0,9.03
2025-11-24 17:38:31,2,9,58.0,14,3,0,9.03
2025-11-24 17:38:32,4,2,58.0,13,3,0,9.03
2025-11-24 17:38:32,13,4,57.6,12,3,0,9.03
2025-11-24 17:38:32,2,9,57.6,11,3,0,9.03
2025-11-24 17:38:33,2,8,57.6,14,3,0,9.03
2025-11-24 17:38:33,1,5,57.6,14,3,0,8.47
2025-11-24 17:38:34,9,7,57.5,11,3,0,8.47
2025-11-24 17:38:34,2,9,57.5,14,3,1,8.47
2025-11-24 17:38:34,2,9,57.6,14,3,1,8.47
2025-11-24 17:38:35,1,5,57.6,14,3,1,8.47
2025-11-24 17:38:35,0,0,57.6,11,3,1,8.47
2025-11-24 17:38:35,2,9,57.6,14,3,2,8.47
2025-11-24 17:38:36,2,9,57.6,14,3,2,8.47
2025-11-24 17:38:36,1,5,57.5,12,3,2,8.47
2025-11-24 17:38:37,2,9,57.5,14,3,2,8.47
2025-11-24 17:38:37,4,3,57.5,10,3,2,8.47
2025-11-24 17:38:37,1,4,57.5,13,3,2,8.47
2025-11-24 17:38:38,2,8,57.5,13,3,2,8.47
2025-11-24 17:38:38,3,1,57.5,15,3,2,8.47
2025-11-24 17:38:38,1,4,57.5,14,3,2,8.19
2025-11-24 17:38:39,1,4,57.5,14,3,1,8.19
2025-11-24 17:38:39,28,9,57.5,13,3,1,8.19
2025-11-24 17:38:40,1,4,57.5,11,3,1,8.19
2025-11-24 17:38:40,4,3,57.5,14,3,1,8.19
2025-11-24 17:38:40,1,5,57.6,12,3,1,8.19
2025-11-24 17:38:41,1,4,57.5,14,3,0,8.19
2025-11-24 17:38:41,2,9,57.5,14,3,0,8.19
2025-11-24 17:38:41,1,4,57.5,14,3,0,8.19
2025-11-24 17:38:42,1,4,57.5,14,3,0,8.19
2025-11-24 17:38:42,2,9,57.5,14,3,0,8.19
2025-11-24 17:38:42,1,5,57.5,14,3,0,8.19
2025-11-24 17:38:43,0,0,57.5,13,3,0,8.19
2025-11-24 17:38:43,1,5,57.5,14,3,0,7.85
2025-11-24 17:38:44,2,9,57.5,14,3,0,7.85
2025-11-24 17:38:44,2,9,57.5,13,3,0,7.85
2025-11-24 17:38:44,1,4,57.4,14,3,0,7.85
2025-11-24 17:38:45,6,0,56.4,13,3,0,7.85
2025-11-24 17:38:45,2,9,56.4,14,3,0,7.85
2025-11-24 17:38:45,4,3,56.4,14,3,0,7.85
2025-11-24 17:38:46,1,4,56.5,14,3,0,7.85
2025-11-24 17:38:46,2,9,56.5,14,3,0,7.85
2025-11-24 17:38:47,1,4,56.5,14,3,0,7.85
2025-11-24 17:38:47,4,4,56.4,13,3,0,7.85
2025-11-24 17:38:47,2,9,56.4,14,3,0,7.85
2025-11-24 17:38:48,0,0,56.4,10,3,0,7.85
2025-11-24 17:38:48,15,5,56.4,10,3,0,7.85
2025-11-24 17:38:48,0,0,56.4,14,3,0,7.54
2025-11-24 17:38:49,1,5,56.4,14,3,0,7.54
2025-11-24 17:38:49,1,4,56.4,14,3,0,7.54
2025-11-24 17:38:50,1,4,56.5,14,3,0,7.54
2025-11-24 17:38:50,2,9,56.5,14,3,0,7.54
2025-11-24 17:38:50,1,4,56.5,14,3,0,7.54
2025-11-24 17:38:51,13,0,56.5,15,3,0,7.54
2025-11-24 17:38:51,5,7,56.6,15,3,0,7.54
2025-11-24 17:38:51,1,4,56.6,14,3,0,7.54
2025-11-24 17:38:52,4,2,56.6,14,3,0,7.54
2025-11-24 17:38:52,0,0,56.6,12,3,1,7.54
2025-11-24 17:38:52,1,4,56.6,14,3,1,7.54
2025-11-24 17:38:53,1,4,56.6,10,3,1,7.54
2025-11-24 17:38:53,1,5,56.6,12,3,1,6.94
2025-11-24 17:38:54,1,4,56.6,14,3,1,6.94
2025-11-24 17:38:54,1,4,56.6,14,3,1,6.94
2025-11-24 17:38:54,1,5,56.6,12,3,1,6.94
2025-11-24 17:38:55,2,9,56.6,14,3,1,6.94
2025-11-24 17:38:55,6,0,56.7,10,3,1,6.94
2025-11-24 17:38:55,2,8,56.8,14,3,1,6.94
2025-11-24 17:38:56,1,5,56.8,14,3,1,6.94
2025-11-24 17:38:56,1,4,56.8,14,3,1,6.94
2025-11-24 17:38:57,2,9,56.8,14,3,1,6.94
2025-11-24 17:38:57,30,8,56.7,11,3,0,6.94
2025-11-24 17:38:57,2,9,56.6,15,3,0,6.94
2025-11-24 17:38:58,5,8,56.6,16,3,0,6.94
2025-11-24 17:38:58,14,7,56.7,14,3,0,6.94
2025-11-24 17:38:58,2,9,56.7,15,3,0,7.51
2025-11-24 17:38:59,4,3,56.7,13,3,0,7.51
2025-11-24 17:38:59,2,9,56.6,14,3,0,7.51
2025-11-24 17:39:00,2,9,56.6,10,3,0,7.51
2025-11-24 17:39:00,4,3,56.5,12,3,0,7.51
2025-11-24 17:39:00,2,9,56.5,12,3,0,7.51
2025-11-24 17:39:01,4,5,56.5,12,3,0,7.51
2025-11-24 17:39:01,4,4,56.5,15,3,0,7.51
2025-11-24 17:39:01,2,9,56.5,13,3,0,7.51
2025-11-24 17:39:02,4,3,56.5,14,3,0,7.51
2025-11-24 17:39:02,1,5,56.5,10,3,0,7.51
2025-11-24 17:39:02,1,5,56.5,13,3,0,7.51
2025-11-24 17:39:03,5,6,56.5,10,3,0,7.51
2025-11-24 17:39:03,2,9,56.5,11,3,0,10.11
2025-11-24 17:39:04,4,3,56.5,13,3,0,10.11
2025-11-24 17:39:04,5,7,56.6,10,3,0,10.11
2025-11-24 17:39:04,4,3,56.6,11,3,0,10.11
2025-11-24 17:39:05,3,0,56.6,10,3,0,10.11
2025-11-24 17:39:05,2,9,56.6,14,3,0,10.11
2025-11-24 17:39:05,2,9,56.6,12,3,0,10.11
2025-11-24 17:39:06,2,9,56.5,11,3,0,10.11
2025-11-24 17:39:06,3,0,56.5,14,3,0,10.11
2025-11-24 17:39:06,0,0,56.6,14,3,0,10.11
2025-11-24 17:39:07,7,2,56.6,10,3,0,10.11
2025-11-24 17:39:07,2,9,56.6,13,3,0,10.11
2025-11-24 17:39:08,0,0,56.6,14,3,0,10.11
2025-11-24 17:39:08,2,9,56.6,14,3,0,10.11
2025-11-24 17:39:08,2,9,56.7,11,3,0,14.18
2025-11-24 17:39:09,1,4,56.7,13,3,0,14.18
2025-11-24 17:39:09,2,9,56.7,14,3,0,14.18
2025-11-24 17:39:09,2,9,56.6,10,3,0,14.18
2025-11-24 17:39:10,2,9,56.5,16,3,0,14.18
2025-11-24 17:39:10,2,9,56.6,15,3,0,14.18
2025-11-24 17:39:11,17,4,57.0,10,3,0,14.18
2025-11-24 17:39:11,7,4,57.3,12,3,0,14.18
2025-11-24 17:39:11,4,4,57.4,14,3,0,14.18
2025-11-24 17:39:12,2,9,57.4,13,3,0,14.18
2025-11-24 17:39:12,8,6,57.4,15,3,0,14.18
2025-11-24 17:39:12,1,5,57.4,14,3,0,14.18
2025-11-24 17:39:13,4,2,57.4,14,3,0,14.18
