timestamp,cpu_percent,mem_total_percent,mem_real_percent,response_ms,apache_procs,connect
2025-12-07 20:23:12,7.5,55.0,15.5,14,6,0,0.66
2025-12-07 20:23:13,4.5,55.0,15.4,14,6,0,0.66
2025-12-07 20:23:14,8.8,55.0,15.4,12,6,0,0.69
2025-12-07 20:23:14,1.5,55.0,15.4,14,6,0,0.69
2025-12-07 20:23:15,2.9,55.1,15.7,14,6,0,0.69
2025-12-07 20:23:16,1.5,55.1,15.5,14,6,0,0.69
2025-12-07 20:23:17,2.9,55.1,15.5,14,6,0,0.69
2025-12-07 20:23:17,0.0,55.1,15.5,14,6,0,0.69
2025-12-07 20:23:18,3.0,55.0,15.5,12,6,0,0.69
2025-12-07 20:23:19,1.5,54.9,15.4,14,6,0,0.71
2025-12-07 20:23:20,0.0,55.0,15.5,14,6,0,0.71
2025-12-07 20:23:21,1.5,55.0,15.5,13,6,0,0.71
2025-12-07 20:23:21,1.4,55.0,15.5,13,6,0,0.71
2025-12-07 20:23:22,1.5,55.1,15.7,14,6,0,0.71
2025-12-07 20:23:23,3.0,55.1,15.7,14,6,0,0.71
2025-12-07 20:23:24,0.0,55.1,15.7,14,6,0,0.66
2025-12-07 20:23:25,0.0,55.1,15.7,13,6,0,0.66
2025-12-07 20:23:25,0.0,55.1,15.7,14,6,0,0.66
2025-12-07 20:23:26,1.5,55.0,15.5,14,6,0,0.66
2025-12-07 20:23:27,1.5,55.0,15.5,14,6,0,0.66
2025-12-07 20:23:28,5.9,55.0,15.5,11,6,0,0.66
2025-12-07 20:23:28,1.4,55.0,15.5,14,6,0,0.60
2025-12-07 20:23:29,0.0,55.0,15.6,14,6,0,0.60
2025-12-07 20:23:30,1.5,55.0,15.6,13,6,0,0.60
2025-12-07 20:23:31,2.9,54.8,15.6,14,6,0,0.60
2025-12-07 20:23:32,2.9,54.8,15.6,13,6,0,0.60
2025-12-07 20:23:32,0.0,54.8,15.6,12,6,0,0.60
2025-12-07 20:23:33,2.8,54.8,15.6,13,6,0,0.60
2025-12-07 20:23:34,0.0,54.8,15.7,14,6,0,0.56
2025-12-07 20:23:35,0.0,54.8,15.6,14,6,0,0.56
2025-12-07 20:23:35,0.0,54.8,15.6,10,6,0,0.56
2025-12-07 20:23:36,2.9,54.8,15.6,12,6,0,0.56
2025-12-07 20:23:37,1.5,54.8,15.6,14,6,0,0.56
2025-12-07 20:23:38,2.9,54.9,15.7,14,6,0,0.56
2025-12-07 20:23:39,1.4,54.9,15.7,14,6,0,0.51
2025-12-07 20:23:39,1.5,54.9,15.7,14,6,0,0.51
2025-12-07 20:23:40,4.5,54.9,15.6,10,6,0,0.51
2025-12-07 20:23:41,1.4,54.9,15.6,14,6,0,0.51
2025-12-07 20:23:42,1.5,54.9,15.6,12,6,0,0.51
