timestamp,cpu_percent,mem_total_percent,mem_real_percent,response_ms,apache_procs,connect
2025-12-07 20:23:42,1.5,54.9,15.6,14,6,0,0.51
2025-12-07 20:23:43,2.9,54.9,15.6,14,6,0,0.51
2025-12-07 20:23:44,1.5,54.9,15.6,14,6,0,0.63
2025-12-07 20:23:45,3.0,54.9,15.6,14,6,0,0.63
2025-12-07 20:23:46,2.9,54.9,15.6,13,6,0,0.63
2025-12-07 20:23:46,2.9,55.0,15.8,12,6,0,0.63
2025-12-07 20:23:47,3.0,55.0,15.8,10,6,0,0.63
2025-12-07 20:23:48,1.5,55.0,15.8,13,6,1,0.63
2025-12-07 20:23:49,1.5,55.0,15.8,14,6,0,0.58
2025-12-07 20:23:49,1.4,55.0,15.8,14,6,0,0.58
2025-12-07 20:23:50,7.0,55.0,15.9,10,6,0,0.58
2025-12-07 20:23:51,0.0,55.0,15.9,10,6,0,0.58
2025-12-07 20:23:52,1.4,55.0,15.9,14,6,0,0.58
2025-12-07 20:23:53,4.2,55.0,15.8,10,6,0,0.58
2025-12-07 20:23:53,1.4,55.0,15.8,14,6,0,0.61
2025-12-07 20:23:54,1.5,55.0,15.8,13,6,0,0.61
2025-12-07 20:23:55,2.9,55.0,15.7,12,6,0,0.61
2025-12-07 20:23:56,1.5,55.0,15.7,12,6,0,0.61
2025-12-07 20:23:56,1.5,55.0,15.8,14,6,0,0.61
2025-12-07 20:23:57,1.4,55.0,15.8,14,6,0,0.61
2025-12-07 20:23:58,0.0,55.1,15.9,13,6,0,0.61
2025-12-07 20:23:59,2.9,55.2,16.0,11,6,0,0.56
2025-12-07 20:24:00,2.9,55.2,16.0,12,6,0,0.56
2025-12-07 20:24:00,1.5,55.1,15.9,14,6,0,0.56
2025-12-07 20:24:01,1.5,55.1,15.9,14,6,0,0.56
2025-12-07 20:24:02,0.0,55.1,15.9,13,6,0,0.56
2025-12-07 20:24:03,3.0,55.1,15.9,14,6,0,0.56
2025-12-07 20:24:03,1.5,55.2,16.0,13,6,0,0.52
2025-12-07 20:24:04,1.5,55.2,16.0,14,6,0,0.52
2025-12-07 20:24:05,0.0,55.2,16.0,14,6,0,0.52
2025-12-07 20:24:06,4.2,55.2,16.0,13,6,0,0.52
2025-12-07 20:24:07,0.0,55.2,16.0,14,6,0,0.52
2025-12-07 20:24:07,1.5,55.2,16.0,14,6,0,0.52
2025-12-07 20:24:08,1.5,55.2,16.0,14,6,0,0.52
2025-12-07 20:24:09,1.5,55.2,16.0,10,6,0,0.48
2025-12-07 20:24:10,2.9,55.2,16.0,13,6,0,0.48
2025-12-07 20:24:10,0.0,55.2,16.0,10,6,0,0.48
2025-12-07 20:24:11,0.0,55.2,16.0,14,6,0,0.48
2025-12-07 20:24:12,1.4,55.2,16.0,13,6,0,0.48
2025-12-07 20:24:13,0.0,55.2,16.0,10,6,0,0.48
2025-12-07 20:24:14,0.0,55.2,16.0,13,6,0,0.44
2025-12-07 20:24:14,1.4,55.2,16.0,14,6,0,0.44
2025-12-07 20:24:15,0.0,55.1,16.0,10,6,0,0.44
2025-12-07 20:24:16,1.5,55.1,15.9,14,6,0,0.44
2025-12-07 20:24:17,0.0,55.1,15.9,10,6,0,0.44
2025-12-07 20:24:17,1.5,55.0,15.8,12,6,0,0.44
2025-12-07 20:24:18,1.5,55.0,15.8,14,6,0,0.44
2025-12-07 20:24:19,2.9,55.1,15.8,13,6,0,0.40
2025-12-07 20:24:20,1.4,55.1,15.9,14,6,0,0.40
2025-12-07 20:24:21,1.5,55.1,15.8,14,6,0,0.40
2025-12-07 20:24:21,0.0,55.1,15.8,13,6,0,0.40
2025-12-07 20:24:22,0.0,55.1,15.8,13,6,0,0.40
2025-12-07 20:24:23,1.5,55.0,15.8,14,6,0,0.40
2025-12-07 20:24:24,4.3,55.0,15.8,13,6,0,0.37
2025-12-07 20:24:24,0.0,55.0,15.8,14,6,0,0.37
2025-12-07 20:24:25,2.9,55.1,15.9,14,6,0,0.37
2025-12-07 20:24:26,1.5,55.1,15.9,13,6,0,0.37
2025-12-07 20:24:27,0.0,55.1,15.9,14,6,0,0.37
2025-12-07 20:24:28,3.0,55.1,15.9,10,6,0,0.37
2025-12-07 20:24:28,1.5,55.1,15.9,14,6,0,0.50
2025-12-07 20:24:29,1.5,55.1,15.9,14,6,0,0.50
2025-12-07 20:24:30,1.4,55.1,15.9,14,6,0,0.50
2025-12-07 20:24:31,8.6,55.1,15.9,14,6,0,0.50
2025-12-07 20:24:31,1.5,55.1,15.9,14,6,0,0.50
2025-12-07 20:24:32,1.5,55.1,15.9,14,6,0,0.50
2025-12-07 20:24:33,2.9,55.1,15.9,13,6,0,0.50
2025-12-07 20:24:34,1.5,55.1,15.9,14,6,0,0.46
2025-12-07 20:24:35,1.4,55.1,15.9,13,6,0,0.46
2025-12-07 20:24:35,0.0,55.1,15.9,14,6,0,0.46
