timestamp,cpu_percent,mem_percent,response_ms,apache_procs,connections,load_avg
2025-11-29 10:45:03,4,9,47.1,352,3,0,56.43
2025-11-29 10:45:03,40,0,47.0,25,3,0,56.43
2025-11-29 10:45:04,14,5,47.1,12,3,0,56.43
2025-11-29 10:45:04,14,9,47.2,13,3,0,56.43
2025-11-29 10:45:04,7,0,47.2,10,3,0,56.43
2025-11-29 10:45:05,22,2,47.0,12,3,0,56.43
2025-11-29 10:45:05,4,4,47.1,12,3,0,56.43
2025-11-29 10:45:06,2,9,47.1,14,3,0,56.43
2025-11-29 10:45:06,1,5,47.0,10,3,0,56.43
2025-11-29 10:45:06,2,9,47.0,13,3,0,55.91
2025-11-29 10:45:07,10,1,47.0,13,3,0,55.91
2025-11-29 10:45:07,4,3,47.2,14,3,0,55.91
2025-11-29 10:45:07,2,9,47.2,12,3,0,55.91
2025-11-29 10:45:08,2,9,47.2,12,3,0,55.91
2025-11-29 10:45:08,4,5,47.2,14,3,0,55.91
2025-11-29 10:45:08,1,4,47.2,13,3,0,55.91
2025-11-29 10:45:09,2,9,47.2,12,3,0,55.91
2025-11-29 10:45:09,2,9,47.2,12,3,0,55.91
2025-11-29 10:45:10,4,3,47.3,12,3,0,55.91
2025-11-29 10:45:10,4,4,47.3,14,3,0,55.91
2025-11-29 10:45:10,24,4,47.3,13,3,0,55.91
2025-11-29 10:45:11,5,8,47.3,11,3,0,55.91
2025-11-29 10:45:11,3,0,47.3,10,3,0,55.92
2025-11-29 10:45:11,2,9,47.3,14,3,0,55.92
2025-11-29 10:45:12,4,4,47.4,14,3,0,55.92
2025-11-29 10:45:12,2,9,47.4,14,3,0,55.92
2025-11-29 10:45:13,0,0,47.4,13,3,0,55.92
2025-11-29 10:45:13,1,4,47.4,13,3,0,55.92
2025-11-29 10:45:13,0,0,47.4,14,3,0,55.92
2025-11-29 10:45:14,4,4,47.4,10,3,0,55.92
2025-11-29 10:45:14,0,0,47.5,12,3,0,55.92
2025-11-29 10:45:14,1,4,47.5,10,3,0,55.92
2025-11-29 10:45:15,4,3,47.5,10,3,0,55.92
2025-11-29 10:45:15,1,4,47.5,14,3,0,55.92
2025-11-29 10:45:15,0,0,47.5,14,3,0,55.92
2025-11-29 10:45:16,1,4,47.5,11,3,0,55.92
2025-11-29 10:45:16,1,4,47.5,14,3,0,56.01
2025-11-29 10:45:17,14,1,47.5,13,3,0,56.01
2025-11-29 10:45:17,2,9,47.5,14,3,0,56.01
2025-11-29 10:45:17,1,5,47.5,14,3,0,56.01
2025-11-29 10:45:18,5,9,47.5,14,3,0,56.01
2025-11-29 10:45:18,1,5,47.5,14,3,0,56.01
2025-11-29 10:45:18,1,5,47.6,14,3,0,56.01
2025-11-29 10:45:19,0,0,47.6,12,3,0,56.01
2025-11-29 10:45:19,2,9,47.6,14,3,0,56.01
2025-11-29 10:45:20,1,4,47.6,13,3,0,56.01
2025-11-29 10:45:20,1,5,47.6,13,3,0,56.01
2025-11-29 10:45:20,1,4,47.6,14,3,0,56.01
2025-11-29 10:45:21,4,4,47.6,14,3,0,56.01
2025-11-29 10:45:21,1,4,47.6,14,3,0,56.01
2025-11-29 10:45:21,2,9,47.5,14,3,0,56.65
2025-11-29 10:45:22,4,2,47.5,14,3,0,56.65
2025-11-29 10:45:22,3,0,47.5,13,3,0,56.65
2025-11-29 10:45:22,1,5,47.6,13,3,0,56.65
2025-11-29 10:45:23,2,8,47.6,14,3,0,56.65
2025-11-29 10:45:23,1,5,47.6,13,3,0,56.65
2025-11-29 10:45:24,7,5,47.6,10,3,0,56.65
