timestamp,cpu_percent,mem_percent,response_ms,apache_procs,connections,load_avg
2025-12-01 11:28:13,15,3,53.8,34,3,0,1.43
2025-12-01 11:28:13,4,7,53.9,11,3,0,1.43
2025-12-01 11:28:14,7,4,53.8,15,3,0,1.43
2025-12-01 11:28:14,19,7,53.3,13,3,0,1.43
2025-12-01 11:28:15,13,2,53.4,13,3,0,1.43
2025-12-01 11:28:15,9,0,53.4,10,3,0,1.43
2025-12-01 11:28:15,7,6,53.5,11,3,0,1.43
2025-12-01 11:28:16,3,0,53.5,14,3,0,1.43
2025-12-01 11:28:16,1,5,53.5,14,3,0,1.43
2025-12-01 11:28:16,10,3,53.6,13,3,0,1.43
2025-12-01 11:28:17,10,3,53.6,11,3,0,1.43
2025-12-01 11:28:17,26,3,53.6,14,3,0,1.96
2025-12-01 11:28:18,1,5,53.6,14,3,0,1.96
2025-12-01 11:28:18,3,0,53.6,11,3,0,1.96
2025-12-01 11:28:18,9,1,53.6,10,3,0,1.96
2025-12-01 11:28:19,7,7,53.6,10,3,0,1.96
2025-12-01 11:28:19,2,9,53.6,14,3,0,1.96
2025-12-01 11:28:19,1,5,53.6,10,3,0,1.96
2025-12-01 11:28:20,3,0,53.6,11,3,0,1.96
2025-12-01 11:28:20,10,6,53.6,12,3,0,1.96
2025-12-01 11:28:20,1,5,53.6,14,3,0,1.96
2025-12-01 11:28:21,5,9,53.6,12,3,0,1.96
2025-12-01 11:28:21,7,6,53.8,10,3,0,1.96
2025-12-01 11:28:21,2,9,53.8,11,3,0,1.96
2025-12-01 11:28:22,26,5,53.7,45,3,0,1.96
2025-12-01 11:28:22,7,6,53.4,11,3,0,3.72
2025-12-01 11:28:23,2,9,53.4,10,3,0,3.72
2025-12-01 11:28:23,7,4,53.5,10,3,0,3.72
2025-12-01 11:28:23,7,4,53.5,12,3,0,3.72
2025-12-01 11:28:24,2,9,53.5,11,3,0,3.72
2025-12-01 11:28:24,4,4,53.5,14,3,0,3.72
2025-12-01 11:28:24,4,5,53.5,12,3,0,3.72
2025-12-01 11:28:25,68,5,53.6,13,3,0,3.72
2025-12-01 11:28:25,17,1,53.6,10,3,0,3.72
2025-12-01 11:28:26,5,7,53.4,28,3,0,3.72
2025-12-01 11:28:26,26,5,53.5,10,3,0,3.72
2025-12-01 11:28:26,31,4,53.6,10,3,0,3.72
2025-12-01 11:28:27,18,8,53.6,18,3,0,3.72
2025-12-01 11:28:27,0,0,53.7,14,3,0,7.03
2025-12-01 11:28:27,2,9,53.8,12,3,0,7.03
2025-12-01 11:28:28,36,6,53.9,11,3,0,7.03
2025-12-01 11:28:28,41,7,53.6,61,3,0,7.03
2025-12-01 11:28:29,16,2,53.7,10,3,0,7.03
2025-12-01 11:28:29,2,8,53.7,13,3,0,7.03
2025-12-01 11:28:29,11,8,53.7,13,3,0,7.03
2025-12-01 11:28:30,13,2,53.7,15,3,0,7.03
2025-12-01 11:28:30,2,9,53.8,10,3,0,7.03
2025-12-01 11:28:30,8,7,53.8,14,3,0,7.03
2025-12-01 11:28:31,33,3,53.9,11,3,0,7.03
2025-12-01 11:28:31,33,8,54.0,11,3,0,7.03
2025-12-01 11:28:32,14,3,53.9,11,3,0,7.03
2025-12-01 11:28:32,5,6,53.9,11,3,0,11.51
2025-12-01 11:28:32,22,4,53.9,11,3,0,11.51
2025-12-01 11:28:33,7,2,53.9,11,3,0,11.51
2025-12-01 11:28:33,28,2,53.9,11,3,0,11.51
2025-12-01 11:28:33,26,5,53.8,10,3,0,11.51
2025-12-01 11:28:34,33,3,53.8,10,3,0,11.51
2025-12-01 11:28:34,69,9,53.9,10,3,0,11.51
2025-12-01 11:28:35,3,0,53.9,13,3,0,11.51
2025-12-01 11:28:35,4,3,54.0,14,3,0,11.51
2025-12-01 11:28:35,2,9,54.0,14,3,0,11.51
2025-12-01 11:28:36,4,3,54.0,14,3,0,11.51
2025-12-01 11:28:36,1,5,53.7,13,3,0,11.51
2025-12-01 11:28:36,7,4,53.7,12,3,0,11.51
2025-12-01 11:28:37,10,1,53.7,13,3,0,11.51
2025-12-01 11:28:37,2,9,53.7,13,3,0,15.88
2025-12-01 11:28:38,1,4,53.7,11,3,0,15.88
2025-12-01 11:28:38,1,5,53.7,14,3,0,15.88
2025-12-01 11:28:38,3,0,53.8,13,3,0,15.88
2025-12-01 11:28:39,1,4,53.8,12,3,0,15.88
2025-12-01 11:28:39,1,5,53.8,13,3,0,15.88
2025-12-01 11:28:39,1,5,53.8,14,3,0,15.88
