timestamp,cpu_percent,mem_percent,response_ms,apache_procs,connections,load_avg
2025-10-31 01:40:38,61,5,68,6,382,94,0,13.51
2025-10-31 01:40:39,37,8,68,3,308,93,0,12.83
2025-10-31 01:40:40,67,4,68,6,469,92,0,12.83
2025-10-31 01:40:40,63,4,68,4,355,92,0,12.83
2025-10-31 01:40:41,10,8,68,1,384,91,0,12.83
2025-10-31 01:40:42,51,2,67,9,355,90,0,12.83
2025-10-31 01:40:43,31,4,68,2,306,89,0,12.83
2025-10-31 01:40:44,45,0,68,3,421,88,0,12.60
2025-10-31 01:40:45,68,3,68,2,346,87,0,12.60
2025-10-31 01:40:45,5,4,68,0,298,87,0,12.60
2025-10-31 01:40:46,0,0,68,0,370,86,0,12.60
2025-10-31 01:40:47,24,3,67,9,414,85,0,12.60
2025-10-31 01:40:48,67,4,68,0,523,84,0,11.91
2025-10-31 01:40:49,55,3,67,9,409,83,0,11.91
2025-10-31 01:40:50,54,8,68,2,478,82,0,11.91
2025-10-31 01:40:51,78,3,68,3,454,81,0,11.91
2025-10-31 01:40:52,81,2,68,6,419,80,0,11.91
2025-10-31 01:40:53,66,7,68,5,457,79,0,11.28
2025-10-31 01:40:54,78,7,68,7,419,78,0,11.28
2025-10-31 01:40:55,64,1,69,0,373,77,0,11.28
2025-10-31 01:40:56,55,3,69,1,411,76,0,11.28
2025-10-31 01:40:57,86,7,69,4,472,75,0,11.28
2025-10-31 01:40:58,60,5,69,2,441,74,0,10.78
2025-10-31 01:40:59,59,5,69,6,400,73,0,10.78
2025-10-31 01:41:00,72,1,69,4,371,72,0,10.78
