timestamp,cpu_percent,mem_percent,response_ms,apache_procs,connections,load_avg
2025-12-01 11:10:42,37,0,51.5,197,3,0,10.03
2025-12-01 11:10:42,19,1,51.7,10,3,0,10.03
2025-12-01 11:10:43,11,8,51.7,12,3,0,10.03
2025-12-01 11:10:43,7,0,51.7,11,3,0,10.03
2025-12-01 11:10:43,7,1,51.5,14,3,0,10.03
2025-12-01 11:10:44,5,8,51.6,13,3,0,10.03
2025-12-01 11:10:44,14,3,51.6,12,3,0,10.03
2025-12-01 11:10:45,2,9,51.7,14,3,0,10.03
2025-12-01 11:10:45,2,9,51.8,14,3,0,10.03
2025-12-01 11:10:45,3,0,51.8,14,3,0,10.03
2025-12-01 11:10:46,2,9,51.8,13,3,0,10.03
2025-12-01 11:10:46,1,5,51.8,14,3,0,10.03
2025-12-01 11:10:46,1,4,51.9,14,3,0,10.43
2025-12-01 11:10:47,14,9,51.9,10,3,0,10.43
2025-12-01 11:10:47,2,9,51.9,14,3,0,10.43
2025-12-01 11:10:47,2,9,52.0,14,3,0,10.43
2025-12-01 11:10:48,3,0,52.0,14,3,0,10.43
2025-12-01 11:10:48,10,1,52.0,12,3,0,10.43
2025-12-01 11:10:49,4,3,52.0,13,3,0,10.43
2025-12-01 11:10:49,7,4,52.1,12,3,0,10.43
2025-12-01 11:10:49,2,9,52.1,14,3,0,10.43
2025-12-01 11:10:50,4,3,52.3,13,3,0,10.43
2025-12-01 11:10:50,6,0,52.3,11,3,0,10.43
2025-12-01 11:10:50,1,5,52.3,13,3,0,10.43
2025-12-01 11:10:51,20,9,52.2,11,3,0,10.43
2025-12-01 11:10:51,6,0,52.2,11,3,0,12.64
2025-12-01 11:10:52,2,9,52.2,12,3,0,12.64
2025-12-01 11:10:52,4,3,52.2,14,3,0,12.64
2025-12-01 11:10:52,4,3,52.2,13,3,0,12.64
2025-12-01 11:10:53,2,9,52.2,15,3,0,12.64
2025-12-01 11:10:53,6,1,52.1,13,3,0,12.64
2025-12-01 11:10:53,2,9,52.2,12,3,0,12.64
2025-12-01 11:10:54,2,9,52.3,10,3,0,12.64
2025-12-01 11:10:54,7,2,52.3,12,3,0,12.64
2025-12-01 11:10:55,10,1,52.2,10,3,0,12.64
2025-12-01 11:10:55,0,0,52.2,14,3,0,12.64
2025-12-01 11:10:55,0,0,52.3,13,3,0,12.64
2025-12-01 11:10:56,2,8,52.3,13,3,0,12.64
2025-12-01 11:10:56,2,9,52.3,11,3,0,12.64
2025-12-01 11:10:56,1,4,52.3,10,3,0,16.19
2025-12-01 11:10:57,15,9,52.3,10,3,0,16.19
2025-12-01 11:10:57,4,2,52.4,12,3,0,16.19
2025-12-01 11:10:57,5,7,52.3,10,3,0,16.19
2025-12-01 11:10:58,4,4,52.3,13,3,0,16.19
2025-12-01 11:10:58,4,2,52.3,13,3,0,16.19
2025-12-01 11:10:59,2,8,52.3,12,3,0,16.19
2025-12-01 11:10:59,1,5,52.3,14,3,0,16.19
2025-12-01 11:10:59,2,9,52.3,14,3,0,16.19
2025-12-01 11:11:00,5,8,52.3,12,3,0,16.19
2025-12-01 11:11:00,1,5,52.3,14,3,0,16.19
2025-12-01 11:11:00,2,9,52.3,12,3,0,16.19
2025-12-01 11:11:01,5,7,52.3,12,3,0,16.19
2025-12-01 11:11:01,34,7,52.3,13,3,0,19.70
2025-12-01 11:11:02,61,0,52.2,10,3,0,19.70
2025-12-01 11:11:02,25,0,52.4,11,3,0,19.70
2025-12-01 11:11:02,0,0,52.4,13,3,0,19.70
2025-12-01 11:11:03,2,9,52.3,10,3,0,19.70
2025-12-01 11:11:03,0,0,52.4,10,3,0,19.70
2025-12-01 11:11:03,4,3,52.4,13,3,0,19.70
2025-12-01 11:11:04,4,3,52.6,14,3,0,19.70
2025-12-01 11:11:04,2,9,52.5,13,3,0,19.70
2025-12-01 11:11:05,5,6,52.5,13,3,0,19.70
2025-12-01 11:11:05,5,8,52.5,14,3,0,19.70
2025-12-01 11:11:05,2,9,52.6,14,3,0,19.70
2025-12-01 11:11:06,1,5,52.5,13,3,0,19.70
2025-12-01 11:11:06,2,9,52.5,14,3,0,23.01
2025-12-01 11:11:06,8,7,52.5,14,3,0,23.01
2025-12-01 11:11:07,11,9,52.5,12,3,0,23.01
2025-12-01 11:11:07,5,9,52.6,10,3,0,23.01
2025-12-01 11:11:08,25,4,52.5,11,3,0,23.01
2025-12-01 11:11:08,30,6,52.8,10,3,0,23.01
2025-12-01 11:11:08,31,0,52.8,14,3,0,23.01
2025-12-01 11:11:09,50,7,52.9,10,3,0,23.01
2025-12-01 11:11:09,42,3,52.9,14,3,0,23.01
2025-12-01 11:11:10,41,1,53.0,11,3,0,23.01
2025-12-01 11:11:10,75,0,53.2,15,3,0,23.01
2025-12-01 11:11:10,50,0,53.2,18,3,0,23.01
2025-12-01 11:11:11,59,7,52.8,14,3,0,23.01
2025-12-01 11:11:11,36,6,52.9,11,3,0,23.01
2025-12-01 11:11:11,15,7,53.0,12,3,0,26.45
2025-12-01 11:11:12,32,4,52.9,11,3,0,26.45
2025-12-01 11:11:12,44,3,53.1,10,3,0,26.45
2025-12-01 11:11:13,34,7,53.2,11,3,0,26.45
2025-12-01 11:11:13,10,3,52.7,13,3,0,26.45
2025-12-01 11:11:13,23,2,52.8,12,3,0,26.45
