timestamp,cpu_percent,mem_percent,response_ms,apache_procs,connections,load_avg
2025-11-24 17:47:34,16,0,55.4,14,3,0,64.34
2025-11-24 17:47:34,4,3,55.3,13,3,0,64.34
2025-11-24 17:47:34,10,0,55.3,13,3,0,64.34
2025-11-24 17:47:35,14,5,55.4,13,3,0,64.34
2025-11-24 17:47:35,11,3,55.4,14,3,0,64.34
2025-11-24 17:47:35,5,9,55.4,13,3,0,64.34
2025-11-24 17:47:36,4,3,55.4,13,3,0,64.34
2025-11-24 17:47:36,5,8,55.6,13,3,0,64.34
2025-11-24 17:47:37,5,7,55.5,14,3,0,64.34
2025-11-24 17:47:37,18,6,56.4,13,3,0,64.34
2025-11-24 17:47:37,8,5,56.4,14,3,0,64.34
2025-11-24 17:47:38,5,8,56.4,14,3,0,64.34
2025-11-24 17:47:38,12,5,56.5,10,3,0,64.34
2025-11-24 17:47:38,4,3,56.5,12,3,0,64.34
2025-11-24 17:47:39,78,3,56.6,10,3,0,64.39
2025-11-24 17:47:39,5,6,56.5,13,3,0,64.39
2025-11-24 17:47:40,4,3,56.5,14,3,0,64.39
2025-11-24 17:47:40,8,5,56.4,14,3,0,64.39
2025-11-24 17:47:40,4,3,56.4,13,3,0,64.39
2025-11-24 17:47:41,5,8,56.7,13,3,0,64.39
2025-11-24 17:47:41,4,3,56.7,12,3,0,64.39
2025-11-24 17:47:41,5,7,56.6,14,3,0,64.39
2025-11-24 17:47:42,5,6,56.6,12,3,0,64.39
2025-11-24 17:47:42,6,0,56.6,14,3,0,64.39
2025-11-24 17:47:43,2,9,56.6,14,3,0,64.39
2025-11-24 17:47:43,5,8,56.6,10,3,0,64.39
2025-11-24 17:47:43,4,4,56.6,10,3,0,64.39
2025-11-24 17:47:44,8,7,56.7,14,3,0,64.44
2025-11-24 17:47:44,5,7,56.7,13,3,0,64.44
2025-11-24 17:47:44,5,5,56.7,14,3,0,64.44
2025-11-24 17:47:45,4,2,56.7,14,3,0,64.44
2025-11-24 17:47:45,12,0,56.8,14,3,0,64.44
2025-11-24 17:47:45,4,3,56.8,11,3,0,64.44
2025-11-24 17:47:46,7,4,56.7,13,3,0,64.44
2025-11-24 17:47:46,4,3,56.7,13,3,0,64.44
2025-11-24 17:47:47,4,3,56.7,13,3,0,64.44
2025-11-24 17:47:47,5,6,56.7,12,3,0,64.44
2025-11-24 17:47:47,2,9,56.7,13,3,0,64.44
2025-11-24 17:47:48,6,9,56.7,14,3,0,64.44
2025-11-24 17:47:48,14,9,56.7,13,3,0,64.44
2025-11-24 17:47:48,21,9,56.8,13,3,0,64.44
2025-11-24 17:47:49,14,3,56.8,12,3,0,64.81
2025-11-24 17:47:49,4,3,56.8,14,3,0,64.81
2025-11-24 17:47:50,9,7,56.9,10,3,0,64.81
2025-11-24 17:47:50,8,5,56.9,13,3,0,64.81
2025-11-24 17:47:50,11,1,56.9,11,3,0,64.81
2025-11-24 17:47:51,2,9,56.8,14,3,0,64.81
2025-11-24 17:47:51,23,1,57.0,14,3,0,64.81
2025-11-24 17:47:51,29,9,57.0,10,3,0,64.81
2025-11-24 17:47:52,5,9,57.2,13,3,0,64.81
2025-11-24 17:47:52,2,9,57.2,11,3,0,64.81
2025-11-24 17:47:53,5,7,57.2,13,3,0,64.81
2025-11-24 17:47:53,5,7,57.2,13,3,0,64.81
2025-11-24 17:47:53,4,4,57.2,14,3,0,64.81
2025-11-24 17:47:54,8,7,57.3,14,3,0,64.82
2025-11-24 17:47:54,8,7,57.3,14,3,0,64.82
2025-11-24 17:47:54,4,3,57.3,14,3,0,64.82
2025-11-24 17:47:55,4,3,57.3,14,3,0,64.82
2025-11-24 17:47:55,10,0,57.2,14,3,0,64.82
2025-11-24 17:47:56,5,8,57.3,14,3,0,64.82
2025-11-24 17:47:56,7,2,57.3,13,3,0,64.82
2025-11-24 17:47:56,32,5,57.3,20,3,0,64.82
2025-11-24 17:47:57,5,9,57.3,10,3,0,64.82
2025-11-24 17:47:57,7,1,57.3,13,3,0,64.82
2025-11-24 17:47:57,4,3,57.3,14,3,0,64.82
2025-11-24 17:47:58,9,9,57.2,14,3,0,64.82
2025-11-24 17:47:58,10,0,57.2,10,3,0,64.82
2025-11-24 17:47:59,7,5,57.2,14,3,0,64.76
2025-11-24 17:47:59,7,1,57.2,13,3,0,64.76
2025-11-24 17:47:59,8,5,57.2,14,3,0,64.76
2025-11-24 17:48:00,8,5,57.2,14,3,0,64.76
2025-11-24 17:48:00,7,1,57.2,12,3,0,64.76
2025-11-24 17:48:00,3,0,57.2,13,3,0,64.76
2025-11-24 17:48:01,8,3,57.2,13,3,0,64.76
2025-11-24 17:48:01,5,8,57.2,14,3,0,64.76
2025-11-24 17:48:02,7,2,57.2,14,3,0,64.76
2025-11-24 17:48:02,5,8,57.2,14,3,0,64.76
2025-11-24 17:48:02,14,7,57.1,13,3,0,64.76
2025-11-24 17:48:03,3,0,57.1,14,3,0,64.76
2025-11-24 17:48:03,7,1,57.1,14,3,0,64.76
2025-11-24 17:48:03,4,2,57.1,11,3,0,64.76
2025-11-24 17:48:04,5,7,57.1,14,3,0,64.86
2025-11-24 17:48:04,4,3,57.1,14,3,0,64.86
2025-11-24 17:48:05,5,8,57.1,13,3,0,64.86
2025-11-24 17:48:05,5,7,57.1,14,3,0,64.86
2025-11-24 17:48:05,1,4,57.0,14,3,0,64.86
2025-11-24 17:48:06,8,5,57.0,14,3,0,64.86
2025-11-24 17:48:06,4,3,57.0,14,3,0,64.86
2025-11-24 17:48:06,4,3,56.9,14,3,0,64.86
2025-11-24 17:48:07,4,3,57.0,13,3,0,64.86
2025-11-24 17:48:07,7,2,56.4,14,3,0,64.86
2025-11-24 17:48:08,4,3,56.4,10,3,0,64.86
2025-11-24 17:48:08,4,5,56.3,14,3,0,64.86
2025-11-24 17:48:08,2,9,56.4,14,3,0,64.86
2025-11-24 17:48:09,7,5,56.4,13,3,0,64.79
2025-11-24 17:48:09,4,3,56.4,14,3,0,64.79
2025-11-24 17:48:09,4,4,56.4,12,3,0,64.79
2025-11-24 17:48:10,8,5,56.4,14,3,0,64.79
2025-11-24 17:48:10,4,3,56.4,14,3,0,64.79
2025-11-24 17:48:11,4,3,56.4,14,3,0,64.79
2025-11-24 17:48:11,4,5,56.4,14,3,0,64.79
2025-11-24 17:48:11,4,3,56.4,14,3,0,64.79
2025-11-24 17:48:12,7,0,56.4,14,3,0,64.79
2025-11-24 17:48:12,8,6,56.4,12,3,0,64.79
2025-11-24 17:48:12,5,9,56.4,12,3,0,64.79
2025-11-24 17:48:13,6,0,56.3,13,3,0,64.79
2025-11-24 17:48:13,5,6,56.4,13,3,0,64.79
2025-11-24 17:48:13,8,6,56.4,10,3,0,64.79
2025-11-24 17:48:14,4,5,56.4,14,3,0,64.81
2025-11-24 17:48:14,38,2,56.3,11,3,0,64.81
2025-11-24 17:48:15,4,4,56.3,11,3,0,64.81
2025-11-24 17:48:15,6,2,56.3,13,3,0,64.81
2025-11-24 17:48:15,8,8,56.2,13,3,0,64.81
2025-11-24 17:48:16,9,0,56.3,13,3,0,64.81
2025-11-24 17:48:16,7,6,56.2,12,3,0,64.81
2025-11-24 17:48:16,5,6,56.2,14,3,0,64.81
2025-11-24 17:48:17,4,3,56.2,14,3,0,64.81
2025-11-24 17:48:17,2,9,56.2,14,3,0,64.81
2025-11-24 17:48:18,10,0,56.2,11,3,0,64.81
2025-11-24 17:48:18,1,4,56.2,15,3,0,64.81
2025-11-24 17:48:18,4,3,56.2,14,3,0,64.81
2025-11-24 17:48:19,5,6,56.2,14,3,0,64.98
2025-11-24 17:48:19,4,3,56.2,13,3,0,64.98
2025-11-24 17:48:19,2,9,56.2,15,3,0,64.98
2025-11-24 17:48:20,6,0,56.2,12,3,0,64.98
2025-11-24 17:48:20,5,7,56.2,14,3,0,64.98
2025-11-24 17:48:21,4,2,56.2,11,3,0,64.98
2025-11-24 17:48:21,4,4,56.2,11,3,0,64.98
2025-11-24 17:48:21,3,0,56.2,14,3,0,64.98
2025-11-24 17:48:22,5,7,56.2,14,3,0,64.98
2025-11-24 17:48:22,2,9,56.2,14,3,0,64.98
2025-11-24 17:48:22,7,0,56.2,13,3,0,64.98
2025-11-24 17:48:23,11,4,56.2,14,3,0,64.98
2025-11-24 17:48:23,7,1,56.2,14,3,0,64.98
2025-11-24 17:48:24,7,0,56.2,12,3,0,64.90
2025-11-24 17:48:24,5,7,56.2,14,3,0,64.90
2025-11-24 17:48:24,10,3,56.2,12,3,0,64.90
2025-11-24 17:48:25,7,1,56.2,14,3,0,64.90
2025-11-24 17:48:25,5,8,56.2,12,3,0,64.90
2025-11-24 17:48:25,5,7,56.2,13,3,0,64.90
2025-11-24 17:48:26,4,3,56.2,14,3,0,64.90
2025-11-24 17:48:26,4,4,56.3,11,3,0,64.90
2025-11-24 17:48:27,5,8,56.3,14,3,0,64.90
2025-11-24 17:48:27,5,6,56.4,14,3,0,64.90
2025-11-24 17:48:27,8,5,56.3,14,3,0,64.90
2025-11-24 17:48:28,5,7,56.4,14,3,0,64.90
2025-11-24 17:48:28,11,3,56.4,11,3,0,64.90
2025-11-24 17:48:28,4,4,56.4,10,3,0,64.90
2025-11-24 17:48:29,7,1,56.4,14,3,0,65.07
2025-11-24 17:48:29,5,6,56.4,14,3,0,65.07
2025-11-24 17:48:30,7,0,56.4,12,3,0,65.07
2025-11-24 17:48:30,4,4,56.4,12,3,0,65.07
2025-11-24 17:48:30,4,4,56.4,14,3,0,65.07
2025-11-24 17:48:31,10,0,56.4,12,3,0,65.07
2025-11-24 17:48:31,5,9,56.4,14,3,0,65.07
2025-11-24 17:48:31,6,9,56.4,11,3,0,65.07
2025-11-24 17:48:32,5,7,56.3,11,3,0,65.07
2025-11-24 17:48:32,38,3,56.3,13,3,0,65.07
2025-11-24 17:48:33,4,4,56.3,14,3,0,65.07
2025-11-24 17:48:33,5,6,56.3,15,3,0,65.07
2025-11-24 17:48:33,7,2,56.3,14,3,0,65.07
2025-11-24 17:48:34,10,0,56.3,11,3,0,64.98
2025-11-24 17:48:34,5,8,56.3,14,3,0,64.98
2025-11-24 17:48:34,5,8,56.3,14,3,0,64.98
2025-11-24 17:48:35,5,8,56.3,13,3,0,64.98
2025-11-24 17:48:35,13,0,56.3,12,3,0,64.98
2025-11-24 17:48:36,5,8,56.3,13,3,0,64.98
2025-11-24 17:48:36,4,3,56.3,14,3,0,64.98
2025-11-24 17:48:36,6,0,56.3,13,3,0,64.98
2025-11-24 17:48:37,8,3,56.3,11,3,0,64.98
2025-11-24 17:48:37,8,7,56.3,12,3,0,64.98
2025-11-24 17:48:37,5,7,56.3,10,3,0,64.98
