timestamp,cpu_percent,mem_percent,response_ms,apache_procs,connections,load_avg
2025-11-24 17:18:37,5,1,75.1,198,3,0,4.07
2025-11-24 17:18:37,5,9,74.9,13,3,0,4.07
2025-11-24 17:18:37,7,4,75.0,14,3,0,4.47
2025-11-24 17:18:38,4,5,75.0,15,3,0,4.47
2025-11-24 17:18:38,13,8,75.1,11,3,0,4.47
2025-11-24 17:18:38,16,0,75.1,13,3,0,4.47
2025-11-24 17:18:39,11,1,75.1,11,3,0,4.47
2025-11-24 17:18:39,1,5,75.1,15,3,0,4.47
2025-11-24 17:18:39,3,0,75.1,15,3,0,4.47
2025-11-24 17:18:40,2,9,75.2,15,3,0,4.47
2025-11-24 17:18:40,1,5,75.2,13,3,0,4.47
2025-11-24 17:18:41,23,3,75.2,12,3,0,4.47
2025-11-24 17:18:41,7,0,75.2,15,3,0,4.47
2025-11-24 17:18:41,11,1,75.2,14,3,0,4.47
2025-11-24 17:18:42,7,7,75.2,14,3,0,4.47
2025-11-24 17:18:42,7,6,74.9,13,3,0,4.47
2025-11-24 17:18:42,33,8,75.0,11,3,0,6.67
2025-11-24 17:18:43,1,5,75.0,12,3,0,6.67
2025-11-24 17:18:43,14,5,75.1,11,3,0,6.67
2025-11-24 17:18:44,15,1,75.1,11,3,0,6.67
2025-11-24 17:18:44,11,0,75.1,11,3,0,6.67
2025-11-24 17:18:44,2,9,75.1,10,3,0,6.67
2025-11-24 17:18:45,24,3,75.1,10,3,0,6.67
2025-11-24 17:18:45,0,0,75.1,15,3,0,6.67
2025-11-24 17:18:45,2,9,75.1,14,3,0,6.67
2025-11-24 17:18:46,1,4,75.1,11,3,0,6.67
2025-11-24 17:18:46,2,9,75.1,10,3,0,6.67
2025-11-24 17:18:46,1,4,75.1,15,3,0,6.67
2025-11-24 17:18:47,6,0,75.1,11,3,0,6.67
2025-11-24 17:18:47,1,5,75.1,10,3,0,10.78
2025-11-24 17:18:48,7,5,75.1,12,3,0,10.78
2025-11-24 17:18:48,8,7,75.1,11,3,0,10.78
2025-11-24 17:18:48,7,4,75.3,11,3,0,10.78
2025-11-24 17:18:49,6,8,75.3,10,3,0,10.78
2025-11-24 17:18:49,10,7,75.3,10,3,0,10.78
2025-11-24 17:18:49,8,5,75.3,11,3,0,10.78
2025-11-24 17:18:50,15,1,75.3,10,3,0,10.78
2025-11-24 17:18:50,7,1,75.3,10,3,0,10.78
2025-11-24 17:18:50,5,6,75.3,11,3,0,10.78
2025-11-24 17:18:51,4,2,75.3,13,3,0,10.78
2025-11-24 17:18:51,2,9,75.3,14,3,0,10.78
2025-11-24 17:18:52,2,9,75.3,14,3,0,10.78
2025-11-24 17:18:52,8,6,75.4,10,3,0,10.78
2025-11-24 17:18:52,1,5,75.4,13,3,0,15.13
2025-11-24 17:18:53,1,4,75.4,12,3,0,15.13
2025-11-24 17:18:53,4,3,75.4,14,3,0,15.13
2025-11-24 17:18:53,1,4,75.4,14,3,0,15.13
2025-11-24 17:18:54,1,4,75.4,12,3,0,15.13
2025-11-24 17:18:54,5,6,75.4,11,3,0,15.13
2025-11-24 17:18:55,4,4,75.4,14,3,0,15.13
2025-11-24 17:18:55,13,0,75.1,10,3,0,15.13
2025-11-24 17:18:55,2,9,74.7,14,3,0,15.13
2025-11-24 17:18:56,2,8,74.7,14,3,0,15.13
2025-11-24 17:18:56,5,8,74.8,14,3,0,15.13
2025-11-24 17:18:56,8,5,74.8,13,3,0,15.13
2025-11-24 17:18:57,14,9,74.8,12,3,0,15.13
2025-11-24 17:18:57,14,3,74.9,12,3,0,19.12
2025-11-24 17:18:58,16,0,74.9,12,3,0,19.12
2025-11-24 17:18:58,34,2,75.0,27,3,0,19.12
2025-11-24 17:18:58,81,0,75.0,19,3,0,19.12
2025-11-24 17:18:59,12,2,75.0,13,3,0,19.12
2025-11-24 17:18:59,7,1,75.0,12,3,0,19.12
2025-11-24 17:19:00,8,6,74.7,13,3,0,19.12
2025-11-24 17:19:00,7,0,74.7,12,3,0,19.12
2025-11-24 17:19:00,4,3,74.7,11,3,0,19.12
2025-11-24 17:19:01,5,7,74.8,14,3,0,19.12
2025-11-24 17:19:01,81,4,74.9,10,3,0,19.12
2025-11-24 17:19:02,8,3,75.0,11,3,0,19.12
2025-11-24 17:19:02,8,7,75.0,13,3,0,19.12
2025-11-24 17:19:02,10,0,75.0,13,3,0,22.79
2025-11-24 17:19:03,10,8,75.0,13,3,0,22.79
2025-11-24 17:19:03,2,9,75.1,13,3,0,22.79
2025-11-24 17:19:03,8,6,74.6,14,3,0,22.79
2025-11-24 17:19:04,2,9,74.7,14,3,0,22.79
2025-11-24 17:19:04,2,9,74.7,14,3,0,22.79
